=== PAIRWISE INFERENCE RESULTS (>1.0%) ===
Model: XGBoost
Total Level Pairs Found: 18559

  Features: Energy_Similarity=0.46, Spin_Similarity=0.50, Parity_Similarity=0.50, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_11405 <-> Q_11411 | XGBoost: 23.4%
  Features: Energy_Similarity=0.38, Spin_Similarity=0.50, Parity_Similarity=0.50, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_11506 <-> Q_11499 | XGBoost: 23.4%
  Features: Energy_Similarity=0.38, Spin_Similarity=0.80, Parity_Similarity=0.80, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_11619 <-> Q_11610 | XGBoost: 23.4%
  Features: Energy_Similarity=0.38, Spin_Similarity=0.50, Parity_Similarity=0.50, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_11473 <-> Q_11474 | XGBoost: 15.9%
  Features: Energy_Similarity=0.94, Spin_Similarity=0.05, Parity_Similarity=1.00, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_11619 <-> Q_11608 | XGBoost: 14.6%
  Features: Energy_Similarity=0.23, Spin_Similarity=0.50, Parity_Similarity=0.50, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_11637 <-> Q_11626 | XGBoost: 14.6%
  Features: Energy_Similarity=0.23, Spin_Similarity=0.50, Parity_Similarity=0.50, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_11859 <-> Q_11870 | XGBoost: 14.6%
  Features: Energy_Similarity=0.23, Spin_Similarity=0.50, Parity_Similarity=0.50, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_11490 <-> Q_11499 | XGBoost: 14.4%
  Features: Energy_Similarity=0.11, Spin_Similarity=1.00, Parity_Similarity=1.00, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_11490 <-> Q_11492 | XGBoost: 13.0%
  Features: Energy_Similarity=0.84, Spin_Similarity=0.05, Parity_Similarity=1.00, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_11637 <-> Q_11649 | XGBoost: 11.1%
  Features: Energy_Similarity=0.18, Spin_Similarity=0.50, Parity_Similarity=0.50, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_11444 <-> Q_11434 | XGBoost: 7.9%
